Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,5400,Europe,5527,Seed,2517,Millet and products,2013,2013,1000 tonnes,25.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5123,Losses,2517,Millet and products,2013,2013,1000 tonnes,65.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5154,Other uses,2517,Millet and products,2013,2013,1000 tonnes,0.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5142,Food,2517,Millet and products,2013,2013,1000 tonnes,278.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,645,Food supply quantity (kg/capita/yr),2517,Millet and products,2013,2013,kg,0.37,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,664,Food supply (kcal/capita/day),2517,Millet and products,2013,2013,kcal/capita/day,3.0,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,674,Protein supply quantity (g/capita/day),2517,Millet and products,2013,2013,g/capita/day,0.09,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,684,Fat supply quantity (g/capita/day),2517,Millet and products,2013,2013,g/capita/day,0.03,Fc,Calculated data
FBS,Food Balance Sheets,5400,Europe,5511,Production,2518,Sorghum and products,2013,2013,1000 tonnes,1267.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5611,Import Quantity,2518,Sorghum and products,2013,2013,1000 tonnes,431.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5072,Stock Variation,2518,Sorghum and products,2013,2013,1000 tonnes,1.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
FBS,Food Balance Sheets,5400,Europe,5911,Export Quantity,2518,Sorghum and products,2013,2013,1000 tonnes,317.0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
